sid,lon,lat,date,s2,s3,ir0,ir1,ir2,ws1,ws2
b8ebf304,33.1110031,0.6788471,2023-01-10 15:45:56.049000+03:00,5,20,irrigated,yes,pump_manual,yes,surface_water
d17a0396,31.7616429,3.4442807,2023-01-10 15:46:36.279000+03:00,80,100,both_irrigated_non-irrigated,no,,no,
8aa78d74,31.7616895,3.4443061,2023-01-10 15:48:44.854000+03:00,10,65,irrigated,no,,no,
e0ee055c,34.0724733,1.3119733,2023-01-10 15:50:22.437000+03:00,20,100,irrigated,no,,no,
0511e0a8,32.9911524,0.3429892,2023-01-10 15:52:51.929000+03:00,15,30,irrigated,yes,green_crops_ds,no,
26d0a113,34.070075,1.3119,2023-01-10 16:00:39.003000+03:00,10,15,non-irrigated,yes,furrows_canals,yes,surface_water
1935af69,34.069583,1.3118343,2023-01-10 16:06:30.741000+03:00,15,20,non-irrigated,yes,furrows_canals,yes,surface_water
b3cc5e49,34.0695133,1.3122183,2023-01-10 16:10:44.897000+03:00,20,25,non-irrigated,yes,furrows_canals,yes,surface_water
fbdaaaf8,34.0189567,1.30273,2023-01-10 16:17:13.626000+03:00,20,35,irrigated,no,,yes,borehole
f512e169,34.0701892,1.3125641,2023-01-10 16:17:48.817000+03:00,20,25,non-irrigated,yes,furrows_canals,yes,surface_water
d91fcc4d,33.0879137,0.6382001,2023-01-10 16:41:23.048000+03:00,7,16,irrigated,no,,no,
cf15c8a2,32.9759013,0.3480725,2023-01-10 16:45:36.036000+03:00,10,25,irrigated,no,,yes,surface_water
faf28a6a,32.9758457,0.3484044,2023-01-10 16:47:14.437000+03:00,30,40,irrigated,yes,green_crops_ds,yes,surface_water
d6cab6e6,32.9755651,0.3484119,2023-01-10 16:49:52.103000+03:00,10,25,irrigated,no,,yes,surface_water
a3d2ee59,32.9755693,0.3485624,2023-01-10 16:51:43.232000+03:00,20,20,irrigated,no,,yes,surface_water
9aa67f0f,33.0821029,0.6355068,2023-01-10 16:55:23.349000+03:00,10,12,irrigated,no,,yes,shallow_well
b1ad1597,33.0819952,0.6352588,2023-01-10 16:59:17.898000+03:00,12,22,irrigated,no,,no,
48a05d08,33.081804,0.634556,2023-01-10 17:05:38.654000+03:00,12,22,irrigated,no,,yes,surface_water
e12e9178,32.9749303,0.3490978,2023-01-10 17:06:03.077000+03:00,10,25,irrigated,yes,green_crops_ds,yes,surface_water
613376f2,33.0828895,0.635113,2023-01-10 17:14:29.458000+03:00,14,16,irrigated,no,,yes,shallow_well
82d6e4e3,32.9746807,0.3493728,2023-01-10 17:16:31.329000+03:00,10,30,irrigated,yes,green_crops_ds,yes,surface_water
79a07432,32.972117,0.3491762,2023-01-10 17:32:01.854000+03:00,10,30,irrigated,yes,green_crops_ds,yes,surface_water
0cd7bc8e,33.1114842,0.6792993,2023-01-10 17:33:30.713000+03:00,20,45,irrigated,yes,pump_manual,yes,surface_water
e5f0ff5c,33.119837,0.6633718,2023-01-10 18:07:58.094000+03:00,20,40,irrigated,no,,no,
b6f5fe64,33.0845701,0.6221058,2023-01-10 18:26:46.005000+03:00,18,48,irrigated,no,,no,
db9c14f4,33.0960615,0.6159609,2023-01-10 18:45:41.523000+03:00,10,26,irrigated,no,,no,
2564dc50,32.9911167,0.3063535,2023-01-11 00:14:54.997000+03:00,10,60,irrigated,yes,green_crops_ds,no,
9f380420,32.9599171,0.2974294,2023-01-11 00:16:25.734000+03:00,20,75,irrigated,yes,green_crops_ds,no,
2e8f2274,33.0698064,0.6159833,2023-01-11 09:16:01.147000+03:00,5,50,irrigated,no,,no,
dceefc98,30.5467981,0.6549399,2023-01-11 09:19:05.917000+03:00,7,15,both_irrigated_non-irrigated,no,,no,
3bfdc45b,30.5481983,0.65455,2023-01-11 09:24:21.954000+03:00,5,10,both_irrigated_non-irrigated,no,,no,
